0000-0000-0000-0000,22.0067
0000-0000-0000-0001,23.3479
0000-0000-0000-0010,24.3257
0000-0000-0000-0011,24.6046
0000-0000-0000-0100,24.3257
0000-0000-0000-0101,26.6933
0000-0000-0000-0110,26.1677
0000-0000-0000-0111,27.2644
0000-0000-0000-1000,23.3479
0000-0000-0000-1001,27.1985
0000-0000-0000-1010,26.6933
0000-0000-0000-1011,27.1252
0000-0000-0000-1100,24.6046
0000-0000-0000-1101,27.1252
0000-0000-0000-1110,27.2644
0000-0000-0000-1111,26.9786
0000-0000-0001-0000,24.3257
0000-0000-0001-0001,24.6046
0000-0000-0001-0010,25.3961
0000-0000-0001-0011,26.6605
0000-0000-0001-0100,25.2545
0000-0000-0001-0101,28.9145
0000-0000-0001-0110,26.3779
0000-0000-0001-0111,28.8655
0000-0000-0001-1000,26.64
0000-0000-0001-1001,29.269
0000-0000-0001-1010,26.6345
0000-0000-0001-1011,27.5241
0000-0000-0001-1100,26.0829
0000-0000-0001-1101,30.1044
0000-0000-0001-1110,26.4742
0000-0000-0001-1111,28.551
0000-0000-0010-0000,23.5603
0000-0000-0010-0001,24.8577
0000-0000-0010-0010,25.0659
0000-0000-0010-0011,25.6414
0000-0000-0010-0100,25.2543
0000-0000-0010-0101,27.9833
0000-0000-0010-0110,27.1102
0000-0000-0010-0111,27.1175
0000-0000-0010-1000,25.0473
0000-0000-0010-1001,28.8621
0000-0000-0010-1010,28.6061
0000-0000-0010-1011,28.5475
0000-0000-0010-1100,26.2593
0000-0000-0010-1101,28.6638
0000-0000-0010-1110,28.5711
0000-0000-0010-1111,27.9109
0000-0000-0011-0000,25.0659
0000-0000-0011-0001,25.6414
0000-0000-0011-0010,25.8597
0000-0000-0011-0011,26.7914
0000-0000-0011-0100,25.9519
0000-0000-0011-0101,28.9364
0000-0000-0011-0110,27.1623
0000-0000-0011-0111,28.9151
0000-0000-0011-1000,26.549
0000-0000-0011-1001,30.873
0000-0000-0011-1010,27.8197
0000-0000-0011-1011,28.8079
0000-0000-0011-1100,25.9649
0000-0000-0011-1101,31.2113
0000-0000-0011-1110,27.4213
0000-0000-0011-1111,28.7922
0000-0000-0100-0000,23.5603
0000-0000-0100-0001,25.0473
0000-0000-0100-0010,25.2543
0000-0000-0100-0011,26.2593
0000-0000-0100-0100,25.0659
0000-0000-0100-0101,28.6061
0000-0000-0100-0110,27.1102
0000-0000-0100-0111,28.5711
0000-0000-0100-1000,24.8577
0000-0000-0100-1001,28.8621
0000-0000-0100-1010,27.9833
0000-0000-0100-1011,28.6638
0000-0000-0100-1100,25.6414
0000-0000-0100-1101,28.5475
0000-0000-0100-1110,27.1175
0000-0000-0100-1111,27.9109
0000-0000-0101-0000,25.8499
0000-0000-0101-0001,26.8319
0000-0000-0101-0010,26.5731
0000-0000-0101-0011,27.9519
0000-0000-0101-0100,26.7852
0000-0000-0101-0101,29.1788
0000-0000-0101-0110,28.1748
0000-0000-0101-0111,29.9537
0000-0000-0101-1000,27.246
0000-0000-0101-1001,30.3993
0000-0000-0101-1010,27.1903
0000-0000-0101-1011,30.2878
0000-0000-0101-1100,27.0425
0000-0000-0101-1101,30.3726
0000-0000-0101-1110,27.0537
0000-0000-0101-1111,30.0719
0000-0000-0110-0000,25.0865
0000-0000-0110-0001,26.4295
0000-0000-0110-0010,26.0589
0000-0000-0110-0011,26.1967
0000-0000-0110-0100,26.0589
0000-0000-0110-0101,29.177
0000-0000-0110-0110,28.2862
0000-0000-0110-0111,27.8584
0000-0000-0110-1000,26.4295
0000-0000-0110-1001,31.03
0000-0000-0110-1010,29.177
0000-0000-0110-1011,30.564
0000-0000-0110-1100,26.1967
0000-0000-0110-1101,30.564
0000-0000-0110-1110,27.8584
0000-0000-0110-1111,29.7023
0000-0000-0111-0000,26.054
0000-0000-0111-0001,27.3146
0000-0000-0111-0010,26.8894
0000-0000-0111-0011,27.1496
0000-0000-0111-0100,27.4795
0000-0000-0111-0101,29.6117
0000-0000-0111-0110,27.9484
0000-0000-0111-0111,29.6405
0000-0000-0111-1000,26.9713
0000-0000-0111-1001,31.1828
0000-0000-0111-1010,27.9558
0000-0000-0111-1011,30.8577
0000-0000-0111-1100,26.556
0000-0000-0111-1101,30.9671
0000-0000-0111-1110,27.1618
0000-0000-0111-1111,29.7564
